"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test invalid signup payloads for negative scenarios","219","testInvalidSignUps","Surefire suite","Fri Jun 27 19:39:19 CEST 2025","passed","Fri Jun 27 19:39:19 CEST 2025","test.java.SignUpNegativeTest","Surefire test","test.java.SignUpNegativeTest","testInvalidSignUps"
"Negative tests for login API with invalid payloads","73","testInvalidLoginPayloads","Surefire suite","Fri Jun 27 19:39:20 CEST 2025","passed","Fri Jun 27 19:39:20 CEST 2025","test.java.ApiKeyCreationNegativeTest","Surefire test","test.java.ApiKeyCreationNegativeTest","testInvalidLoginPayloads"
"Test for SQL injection attempt","66","testSqlInjectionAttempt","Surefire suite","Fri Jun 27 19:39:22 CEST 2025","failed","Fri Jun 27 19:39:22 CEST 2025","test.java.SignUpSecurityTest","Surefire test","test.java.SignUpSecurityTest","testSqlInjectionAttempt"
"Create Account With Invalid Deposit Type","72","createAccountWithInvalidDepositType","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","passed","Fri Jun 27 19:39:23 CEST 2025","test.java.CreateBankAccountNegativeTests","Surefire test","test.java.CreateBankAccountNegativeTests","createAccountWithInvalidDepositType"
"Negative tests for login API with invalid payloads","121","testInvalidLoginPayloads","Surefire suite","Fri Jun 27 19:39:20 CEST 2025","passed","Fri Jun 27 19:39:20 CEST 2025","test.java.ApiKeyCreationNegativeTest","Surefire test","test.java.ApiKeyCreationNegativeTest","testInvalidLoginPayloads"
"Negative tests for login API with invalid payloads","186","testInvalidLoginPayloads","Surefire suite","Fri Jun 27 19:39:19 CEST 2025","failed","Fri Jun 27 19:39:19 CEST 2025","test.java.ApiKeyCreationNegativeTest","Surefire test","test.java.ApiKeyCreationNegativeTest","testInvalidLoginPayloads"
"Test insecure HTTP request if HTTPS is required","66","testHttpInsteadOfHttps","Surefire suite","Fri Jun 27 19:39:22 CEST 2025","passed","Fri Jun 27 19:39:22 CEST 2025","test.java.SignUpSecurityTest","Surefire test","test.java.SignUpSecurityTest","testHttpInsteadOfHttps"
"Create Account With Missing Fields","66","createAccountWithMissingFields","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","passed","Fri Jun 27 19:39:23 CEST 2025","test.java.CreateBankAccountNegativeTests","Surefire test","test.java.CreateBankAccountNegativeTests","createAccountWithMissingFields"
"Test invalid signup payloads for negative scenarios","163","testInvalidSignUps","Surefire suite","Fri Jun 27 19:39:18 CEST 2025","failed","Fri Jun 27 19:39:18 CEST 2025","test.java.SignUpNegativeTest","Surefire test","test.java.SignUpNegativeTest","testInvalidSignUps"
"Get Bank Account Details","67","getBankAccountDetails","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","failed","Fri Jun 27 19:39:24 CEST 2025","test.java.GetBankAccountDetailsTest","Surefire test","test.java.GetBankAccountDetailsTest","getBankAccountDetails"
"Test invalid signup payloads for negative scenarios","143","testInvalidSignUps","Surefire suite","Fri Jun 27 19:39:18 CEST 2025","failed","Fri Jun 27 19:39:18 CEST 2025","test.java.SignUpNegativeTest","Surefire test","test.java.SignUpNegativeTest","testInvalidSignUps"
"Create Account With Injection Attack","67","createAccountWithInjectionAttack","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","failed","Fri Jun 27 19:39:23 CEST 2025","test.java.CreateBankAccountSecurityTest","Surefire test","test.java.CreateBankAccountSecurityTest","createAccountWithInjectionAttack"
"Get Account Details With NegativeId","89","getAccountDetailsWithNegativeId","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","passed","Fri Jun 27 19:39:23 CEST 2025","test.java.GetBankAccountDetailsNegativeTests","Surefire test","test.java.GetBankAccountDetailsNegativeTests","getAccountDetailsWithNegativeId"
"Get Account Details With NonNumericId","66","getAccountDetailsWithNonNumericId","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","failed","Fri Jun 27 19:39:23 CEST 2025","test.java.GetBankAccountDetailsNegativeTests","Surefire test","test.java.GetBankAccountDetailsNegativeTests","getAccountDetailsWithNonNumericId"
"Create Account With Empty Body","87","createAccountWithEmptyBody","Surefire suite","Fri Jun 27 19:39:23 CEST 2025","passed","Fri Jun 27 19:39:23 CEST 2025","test.java.CreateBankAccountNegativeTests","Surefire test","test.java.CreateBankAccountNegativeTests","createAccountWithEmptyBody"
"Test invalid signup payloads for negative scenarios","1218","testInvalidSignUps","Surefire suite","Fri Jun 27 19:39:17 CEST 2025","failed","Fri Jun 27 19:39:18 CEST 2025","test.java.SignUpNegativeTest","Surefire test","test.java.SignUpNegativeTest","testInvalidSignUps"
"Test login using HTTP instead of HTTPS (if your API requires HTTPS)","39","testHttpInsteadOfHttps","Surefire suite","Fri Jun 27 19:39:21 CEST 2025","passed","Fri Jun 27 19:39:21 CEST 2025","test.java.ApiKeyCreationSecurityTest","Surefire test","test.java.ApiKeyCreationSecurityTest","testHttpInsteadOfHttps"
